[all run data],Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Average
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,2.254741182,2.271094824,2.309059534,2.283293572,2.269533793,2.289900332,2.302015504,2.291362126,2.279464883,2.264882943,2.310698878,2.302547065,2.243379743,2.297606942,2.323139205,2.273921366,2.280088594,2.289670179,2.254709255,2.299459924,2.255611544,2.28318984,2.291980205,2.285869324,2.292181994,2.27665921,2.266978818,2.265358802,2.304169454,2.324268724,2.284561259
,2.291099575,2.295856536,2.28300095,2.262749019,2.270990637,2.271889839,2.279957224,2.305701391,2.286663521,2.309427911,2.259638656,2.274720024,2.29552444,2.283076923,2.285489079,2.296214424,2.289382412,2.273496923,2.272321345,2.311264118,2.279188296,2.303571429,2.282208589,2.299935915,2.339339009,2.310211084,2.310409228,2.301823609,2.281041974,2.289550235,2.289858144
,2.292312863,2.281269616,2.291033267,2.280313341,2.29249467,2.269781654,2.278046414,2.284376672,2.258406939,2.271071372,2.276591083,2.299291796,2.291692096,2.289579222,2.279616276,2.274883565,2.270882348,2.30457099,2.311448624,2.306234853,2.259390855,2.268685517,2.280565858,2.287233055,2.293108415,2.284297989,2.291185314,2.294951733,2.274118586,2.318513562,2.285198285
,2.274350649,2.255849801,2.265963118,2.257561391,2.281118207,2.303007873,2.262310606,2.264787026,2.264502165,2.251090181,2.236244583,2.274178634,2.255083776,2.269049484,2.314867424,2.291387182,2.254464706,2.275081169,2.261994125,2.270468074,2.29105247,2.244710074,2.251414273,2.24137509,2.279348631,2.280375077,2.298609189,2.293382067,2.267654221,2.268059182,2.269978015
,2.2462022,2.239450857,2.22592131,2.259084598,2.262144553,2.273540315,2.2529623,2.25347544,2.2402473,2.255918055,2.272738692,2.245721772,2.23451421,2.237490505,2.259418443,2.260310808,2.235849388,2.239613063,2.239474365,2.251463826,2.278242797,2.244199441,2.249380129,2.236206775,2.236359576,2.246675171,2.253009131,2.250431106,2.275699058,2.261886006,2.250587706
,2.219317781,2.239602258,2.245434298,2.233001758,2.234688347,2.228369216,2.254752402,2.252850107,2.236980945,2.220994803,2.259704233,2.233724326,2.23517539,2.253540281,2.238117763,2.235929594,2.218352291,2.235338753,2.22965604,2.223910277,2.216985895,2.243567054,2.216062881,2.227438878,2.25254145,2.242652809,2.244770546,2.232070326,2.222369358,2.229925695,2.235260858
,2.240971084,2.226708907,2.232419968,2.203470772,2.220966442,2.227136344,2.235328415,2.223579823,2.226887737,2.228569513,2.227326117,2.220966442,2.231259848,2.247806083,2.230773781,2.219527988,2.239752238,2.230690255,2.233378865,2.240466111,2.199109989,2.225773196,2.230564562,2.249966476,2.229451445,2.213350941,2.227021911,2.236950845,2.230480981,2.226879181,2.228584542
,2.212095808,2.199303394,2.195430385,2.207841586,2.201299277,2.195336113,2.203116415,2.210755943,2.21471323,2.200596967,2.207935922,2.190410453,2.194010388,2.193745767,2.204090135,2.203233427,2.200770713,2.180381042,2.202022005,2.203979034,2.206867136,2.205468012,2.205982806,2.202591171,2.196324952,2.180202498,2.194513939,2.202822822,2.215280312,2.199644286,2.201025531
,2.182111026,2.200752831,2.18089837,2.194771857,2.191684618,2.196452641,2.182488694,2.187930665,2.185786616,2.200534119,2.178542758,2.183194135,2.188567853,2.19167146,2.184895356,2.200888083,2.188953488,2.185765215,2.20211374,2.182154869,2.189042809,2.193852203,2.186853608,2.177172694,2.196683219,2.184791189,2.193662371,2.192126572,2.19065378,2.187905471,2.189430077
,2.180471256,2.188887323,2.184715177,2.176748244,2.168327742,2.178446181,2.175955981,2.169593323,2.179234563,2.173280061,2.164796672,2.184256607,2.176717177,2.16969697,2.180515945,2.172515824,2.183390908,2.172022674,2.17515232,2.171538761,2.172521243,2.160132011,2.171736778,2.171595413,2.179543409,2.168093173,2.175694999,2.161574339,2.182658266,2.177674933,2.174916276
,2.158744038,2.15960715,2.136348812,2.174866877,2.152253406,2.164447961,2.157494689,2.148924781,2.15392301,2.150851797,2.136003922,2.167359993,2.15580923,2.152750884,2.151801341,2.154207811,2.159458201,2.156462301,2.15097264,2.150458716,2.165388196,2.157991111,2.164026426,2.145458365,2.167436983,2.151614828,2.166789239,2.175227732,2.15736713,2.143180972,2.156240951
,2.13443835,2.136728749,2.135772986,2.143882979,2.136547928,2.133320778,2.143610436,2.126168806,2.13713145,2.130940694,2.124304927,2.14917392,2.142652792,2.142328235,2.137319641,2.148176722,2.143625081,2.132015389,2.135692849,2.134197595,2.139822795,2.14095594,2.139297228,2.135069214,2.153759852,2.144119309,2.153894682,2.14065935,2.14162234,2.140401422,2.139254415
,2.12279199,2.116313995,2.121028071,2.120374853,2.110857036,2.114794397,2.127339587,2.104403999,2.127501902,2.116616829,2.113719688,2.133386996,2.123555656,2.119586399,2.116892593,2.120993581,2.118862113,2.112557382,2.120112041,2.110550522,2.125217146,2.122668153,2.119568685,2.114103059,2.115004495,2.113150607,2.130826572,2.119314214,2.120270517,2.107052814,2.118647196
,2.107310782,2.109033886,2.09877421,2.105785277,2.105573318,2.108576012,2.106702618,2.09689794,2.112361703,2.102370056,2.097685219,2.105340967,2.097296747,2.099038464,2.109464826,2.103653117,2.111084243,2.107534682,2.103502172,2.09815178,2.100717336,2.105140445,2.099873411,2.101106379,2.107140618,2.103394025,2.110114229,2.103416698,2.102156796,2.09724288,2.103881361
,2.076900403,2.081977551,2.078255744,2.078083295,2.074433557,2.083074017,2.077809308,2.077807892,2.083747807,2.082456289,2.077432108,2.078389585,2.074113145,2.078777536,2.079143019,2.080392051,2.077759724,2.081605469,2.080422937,2.073748909,2.073852028,2.084777113,2.081946664,2.082600426,2.080358591,2.075066727,2.08466209,2.073965114,2.090376067,2.074291995,2.079274239
,2.059875796,2.073513586,2.069522913,2.064882073,2.06420052,2.069592413,2.069173168,2.075641198,2.069722446,2.067377365,2.062550444,2.069991481,2.060044624,2.064274505,2.068130661,2.067063492,2.06494709,2.065429109,2.067352704,2.060126355,2.072849969,2.074121155,2.062180522,2.07297776,2.063527868,2.061296889,2.080185634,2.062438346,2.068935521,2.0589356,2.067028707
,2.037512267,2.044950982,2.047972717,2.040734748,2.037516153,2.040353281,2.038172398,2.045028711,2.045298691,2.043814188,2.03641628,2.045866247,2.041938963,2.0421294,2.044912117,2.044533186,2.042277086,2.041392913,2.044099844,2.041190816,2.042034182,2.046136357,2.041645534,2.047018587,2.042323724,2.039807231,2.046544437,2.039987952,2.043512986,2.040660312,2.042526076
,2.029866406,2.038196298,2.029882525,2.035669799,2.028454662,2.033465618,2.029406432,2.033186947,2.03181542,2.036351366,2.025741892,2.03451315,2.033368251,2.033307817,2.035332373,2.029493727,2.032156203,2.032277072,2.032092433,2.031585433,2.030202153,2.035893071,2.030803141,2.036104592,2.033771148,2.030907223,2.034626499,2.029685103,2.028634213,2.036735797,2.032450892
