[all run data],Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Average
,39.21428571,39.4047619,39.27380952,39.4702381,39.08333333,39.41666667,39.13690476,39.42857143,39.26785714,39.01785714,39.2202381,38.89285714,38.8452381,39.11309524,39.44642857,39.3452381,39.27380952,39.17261905,39.1547619,39.29166667,39.11904762,39.33333333,39.29166667,38.74404762,39.31547619,39,39.26785714,39.16071429,38.88690476,39.52380952,39.20376984
,42.35714286,42.57142857,42.44505495,42.48351648,42.3021978,42.51098901,42.25274725,42.58791209,42.50549451,42.31868132,42.38461538,42.10989011,42.2032967,42.2967033,42.57692308,42.41208791,42.65384615,42.21428571,42.54945055,42.74725275,42.21978022,42.4010989,42.45604396,42.04395604,42.65384615,42.2967033,42.30769231,42.35714286,42.08241758,42.79120879,42.40311355
,45.62755102,45.92346939,45.54591837,45.80102041,45.69897959,45.60714286,45.52040816,45.98469388,45.70408163,45.67857143,45.65816327,45.53571429,45.55612245,45.60714286,45.76530612,45.68367347,45.8877551,45.57142857,46.01530612,46,45.80612245,45.87244898,45.96938776,45.44387755,46.10204082,45.55102041,45.71428571,45.78571429,45.81122449,45.97959184,45.74693878
,49.53333333,49.68095238,49.58095238,49.93333333,49.66190476,49.65238095,49.48571429,49.7047619,49.64761905,49.51428571,49.62380952,49.63809524,49.45714286,49.7,49.95714286,49.66190476,49.76666667,49.62380952,50.03809524,49.94761905,49.63333333,49.81904762,49.77619048,49.32857143,49.88095238,49.38095238,49.5952381,49.8047619,49.95238095,49.78571429,49.69222222
,53.85054945,53.84615385,53.91648352,54.25494505,54.11428571,54.06593407,53.85934066,54.07032967,53.6,53.68351648,53.93846154,54.09230769,53.57802198,53.87252747,54.24175824,53.96043956,53.95164835,53.91208791,54.30769231,54.14505495,54.05714286,54.01758242,54.14945055,53.71868132,54.15824176,53.90769231,53.9032967,53.95604396,54.16263736,54.15824176,53.98168498
,58.17142857,58.14693878,58.58367347,58.50204082,58.43265306,58.25714286,58.13877551,58.18367347,58.22857143,58.20816327,58.2244898,58.40816327,58.04489796,58.31428571,58.6,58.33469388,58.24081633,58.47346939,58.67755102,58.60816327,58.43265306,58.43265306,58.46938776,58.2,58.38367347,58.4244898,58.36734694,58.4122449,58.29387755,58.30204082,58.34993197
,63.69904762,63.74095238,63.88571429,63.92380952,64.11047619,63.80571429,63.5352381,63.6,63.61142857,63.62666667,63.66857143,63.96952381,63.66095238,63.79047619,64.02666667,63.86666667,63.69904762,63.8552381,64.15619048,63.99238095,63.85904762,63.56952381,64.00761905,63.82095238,63.88190476,63.63047619,63.72571429,63.9047619,63.7447619,63.99238095,63.81206349
,69.45326279,69.64726631,69.52733686,69.43209877,69.60141093,69.60846561,69.11111111,69.58377425,69.46737213,69.33686067,69.27689594,69.42151675,69.42857143,69.43209877,69.66843034,69.49559083,69.43915344,69.21340388,69.62257496,69.5026455,69.18871252,69.33333333,69.4356261,69.45679012,69.48148148,69.68606702,69.15343915,69.31922399,69.23809524,69.74603175,69.4436214
,76.12807882,76.1182266,75.97701149,75.65188834,75.73399015,76.14121511,75.38916256,75.85878489,75.77011494,75.64203612,75.9408867,75.71756979,75.9047619,75.84893268,75.727422,75.8817734,75.72413793,75.42528736,75.97372742,75.81280788,75.47454844,75.77339901,75.77339901,75.73399015,75.9047619,75.96715928,75.54351396,75.69458128,75.5500821,76.03612479,75.7939792
,83.12462006,83.07902736,83,82.76595745,82.89969605,83.10334347,82.443769,82.9787234,82.8449848,82.82674772,82.98480243,82.83282675,83.00303951,82.93009119,82.87537994,82.80547112,82.61702128,82.65653495,82.93920973,82.79027356,82.28267477,82.83890578,82.9118541,82.84194529,82.79027356,82.84194529,82.63221884,82.70516717,82.84802432,83.3768997,82.85238095
