[all run data],Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Average
,2.261637844,2.278386954,2.268915803,2.259388681,2.285837331,2.261205396,2.277564666,2.287953308,2.282481061,2.263365064,2.26060705,2.271063448,2.307900246,2.297032501,2.273483104,2.26317812,2.256778112,2.276072884,2.260502411,2.248490447,2.241989099,2.24196312,2.284991101,2.293508085,2.276832095,2.25814567,2.277511388,2.282885488,2.272509405,2.284977918,2.27190526
,2.274081213,2.244608225,2.233709186,2.225640001,2.239274852,2.24376835,2.259754942,2.24458715,2.268750148,2.23862939,2.253516418,2.242197777,2.26948419,2.265618603,2.235277163,2.229135231,2.267769825,2.263588971,2.237129286,2.232093592,2.243477757,2.229579186,2.253473776,2.264538925,2.261005561,2.248812983,2.260954872,2.258723355,2.272179146,2.252267039,2.250454237
,2.258025304,2.251986735,2.224735783,2.237309682,2.268778448,2.25661493,2.256605498,2.250702143,2.254781966,2.228499107,2.235634393,2.236567194,2.259577253,2.252264291,2.249614175,2.236271465,2.241926503,2.210087167,2.2376909,2.241970929,2.221717397,2.228164573,2.222099058,2.251044876,2.230556793,2.242039099,2.233655036,2.258469284,2.24511091,2.224904727,2.241580187
,2.231485845,2.251273928,2.226988111,2.253404607,2.237704918,2.232159087,2.223246108,2.23088541,2.218664706,2.230324503,2.222587077,2.213216154,2.222610547,2.241032217,2.220445562,2.216048141,2.223430178,2.199152871,2.232376246,2.244125029,2.243287008,2.219016785,2.231500494,2.24385665,2.219439923,2.237478257,2.198780456,2.228762644,2.214693133,2.215580503,2.227451903
,2.208996833,2.198816143,2.19619349,2.203800739,2.214471477,2.197189313,2.184017422,2.214456825,2.213289713,2.201116332,2.196164187,2.21666691,2.187320287,2.211625154,2.205260316,2.196400683,2.211353057,2.190810731,2.214081379,2.21915667,2.200024908,2.206340403,2.223291796,2.193592815,2.185497258,2.20525627,2.2068819,2.209334787,2.210500197,2.188194753,2.203670092
,2.181430533,2.187181134,2.193679784,2.190103675,2.206088382,2.192464212,2.170951719,2.190930773,2.205119607,2.181374563,2.175793306,2.185872089,2.186712036,2.178574363,2.216223146,2.176637315,2.192408124,2.198428279,2.197561191,2.200794271,2.181626688,2.191741295,2.198430394,2.177854217,2.187129053,2.168195293,2.19402139,2.199474655,2.19570343,2.191601929,2.189803562
,2.170334241,2.181398535,2.164918634,2.17401493,2.175227407,2.163801699,2.171666096,2.173224008,2.165270311,2.165302827,2.168689847,2.167914896,2.173256417,2.163826752,2.168491395,2.172476226,2.179084228,2.158714883,2.194207112,2.171454048,2.158041056,2.155031976,2.175606041,2.156822955,2.163902124,2.162350499,2.17238633,2.181196526,2.171139055,2.155306223,2.169168576
,2.155328835,2.164314166,2.16420776,2.158540478,2.15897412,2.162824481,2.166583138,2.159072509,2.15462932,2.141629899,2.159106318,2.153037643,2.149394179,2.160067175,2.147181386,2.155036306,2.148917665,2.159334744,2.157144852,2.155921283,2.139108065,2.137493018,2.148086934,2.148254515,2.149044051,2.147825846,2.158124107,2.153854364,2.163772883,2.152438319,2.154308279
,2.138685985,2.131585801,2.149087835,2.143033445,2.144147357,2.147867318,2.147328816,2.139579518,2.135469358,2.134170236,2.132139915,2.143922972,2.123924655,2.139907179,2.140184557,2.139952373,2.145277296,2.148116449,2.144207641,2.138852968,2.129082032,2.120664088,2.144087254,2.132787864,2.127522829,2.140112433,2.131290297,2.136853314,2.133136462,2.135408361,2.13794622
,2.122334479,2.123928692,2.121450415,2.120401694,2.121455744,2.1236302,2.117795145,2.117082786,2.117567744,2.123441499,2.113759409,2.115650681,2.114044231,2.116785829,2.120247302,2.117117366,2.119892124,2.117566726,2.124766763,2.125296265,2.116434987,2.114671606,2.123235742,2.113857647,2.11462558,2.116469846,2.121397112,2.115413326,2.117300131,2.107455564,2.118502554
,2.10195658,2.098475848,2.11094434,2.11047083,2.101721314,2.111879448,2.10267456,2.098659287,2.102721939,2.105184788,2.103901248,2.108541052,2.10518181,2.106861431,2.103782126,2.097853217,2.100830876,2.105095447,2.106430149,2.108030247,2.099636993,2.103880401,2.103656734,2.094607243,2.101679621,2.101641635,2.105650937,2.102611868,2.097993558,2.1030328,2.103519611
,2.074722075,2.080507875,2.079999484,2.0809059,2.074850523,2.085376846,2.087965424,2.080076425,2.07983867,2.079483209,2.073145302,2.082675275,2.073571595,2.080528399,2.080236818,2.076519698,2.076858679,2.085117664,2.077311511,2.078568989,2.081025221,2.078507356,2.08259013,2.06665891,2.076547946,2.078356125,2.080156034,2.079861835,2.075506858,2.072962027,2.078681093
,2.059744734,2.070323289,2.068163361,2.074429791,2.064677786,2.073436469,2.06859738,2.068465385,2.070767196,2.061827578,2.065098381,2.06704923,2.0716467,2.069040348,2.069780865,2.061929423,2.067310984,2.07000269,2.069490028,2.063261631,2.067552602,2.064514469,2.07189503,2.065073772,2.067928454,2.067465351,2.067011197,2.065046926,2.065287867,2.067011197,2.067461004
,2.04048718,2.041773011,2.044362127,2.045789535,2.040666142,2.040535945,2.043700787,2.040184219,2.039190133,2.039017106,2.036971025,2.03996269,2.050055868,2.044600675,2.044513401,2.039302199,2.04200768,2.047216943,2.037387999,2.044732555,2.043277995,2.042257654,2.046448935,2.041773011,2.041825375,2.041894268,2.047596239,2.042762112,2.042804779,2.039115438,2.042407101
,2.032043742,2.031485745,2.029708605,2.032527204,2.034307565,2.030609372,2.036216147,2.029515163,2.034101458,2.030639534,2.031970012,2.030326185,2.039706558,2.033417787,2.030582161,2.028431008,2.029932404,2.034920858,2.033094384,2.031234395,2.028057335,2.033047465,2.034337727,2.036482308,2.03204039,2.034227133,2.034681238,2.028719222,2.031895999,2.030967965,2.032307569
