[all run data],Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Average
,32.09022556,32.20300752,32.21052632,32.31578947,32.42857143,32.19548872,31.9924812,32.27067669,32.12781955,32.29323308,32.0075188,32.21052632,32,31.80451128,32.21804511,32.04511278,32.15037594,32.18796992,32.5112782,32.08270677,32.64661654,32.29323308,32.09022556,32.2481203,32.43609023,32.27819549,32.12030075,31.78195489,32.18045113,32.33834586,32.19197995
,33.70034843,33.8815331,33.8466899,34,34.06271777,33.74216028,33.70731707,33.94425087,33.83275261,33.77003484,33.56097561,33.8815331,33.63763066,33.59581882,33.89547038,33.83275261,33.7630662,34.04878049,33.90940767,33.85365854,34.20209059,33.97909408,33.77700348,33.95121951,34.12543554,34.02787456,33.82578397,33.56097561,33.97212544,33.87456446,33.85876887
,36.55844156,36.58441558,36.7012987,36.73376623,37.01298701,36.53246753,36.49350649,36.75324675,36.64285714,36.49350649,36.36363636,36.83766234,36.3961039,36.33116883,36.88311688,36.64285714,36.57142857,36.81818182,36.81168831,36.64935065,36.97402597,36.94155844,36.64285714,36.74675325,37.08441558,36.88311688,36.59090909,36.5,36.8961039,36.69480519,36.69220779
,38.85119048,39.13690476,38.97619048,39.17857143,39.19642857,39.10714286,38.69642857,39.28571429,38.9702381,38.83333333,39.01785714,39.0297619,39.04166667,38.9047619,39.23809524,39.1547619,39.10714286,38.99404762,39.14880952,38.98809524,39.5,39.25595238,39.11904762,38.99404762,39.42857143,39.04166667,38.98214286,38.7797619,39.48214286,39,39.08134921
,42.05494505,42.36263736,42.22527473,42.54395604,42.32967033,42.43956044,42.13186813,42.45604396,42.12637363,42.23626374,42.2967033,42.25274725,42.28021978,42.07692308,42.48351648,42.50549451,42.30769231,42.18131868,42.47252747,42.12087912,42.52197802,42.42857143,42.3956044,42,42.51098901,42.22527473,42.31868132,42.12087912,42.51098901,42.13736264,42.3018315
,45.29591837,45.75510204,45.5255102,45.98979592,45.59693878,45.77040816,45.43367347,45.88265306,45.45408163,45.65306122,45.69897959,45.58163265,45.53061224,45.28571429,45.81632653,45.77040816,45.70918367,45.48979592,45.78061224,45.40816327,45.72959184,45.93877551,45.64285714,45.49489796,45.85204082,45.51020408,45.6377551,45.44897959,45.78061224,45.55612245,45.63401361
,49.44761905,49.75714286,49.38571429,49.91904762,49.21428571,49.70952381,49.43809524,49.84285714,49.52857143,49.52857143,49.79047619,49.56666667,49.40952381,49.42857143,49.73809524,49.68571429,49.58095238,49.66666667,49.6047619,49.32857143,49.61428571,49.70952381,49.61904762,49.67142857,49.65714286,49.24761905,49.64761905,49.31428571,49.60952381,49.41904762,49.56936508
,53.63516484,54.01318681,53.78461538,54.01318681,53.66593407,53.9032967,53.73626374,53.94725275,53.95164835,53.88571429,53.91208791,53.82417582,53.91208791,53.55164835,53.94725275,54.04835165,53.8021978,53.82857143,53.87252747,53.67472527,53.7978022,54.07912088,53.87692308,53.96923077,53.9032967,53.93846154,53.8021978,53.92087912,53.96923077,53.48131868,53.85494505
,58.2,58.23265306,58.4,58.38367347,58.22857143,58.32653061,58.08163265,58.48979592,58.25306122,58.31836735,58.36734694,58.44897959,58.32244898,57.93061224,58.44081633,58.27755102,58.24489796,58.22857143,58.28979592,58.1755102,58.15102041,58.57142857,58.16326531,58.36326531,58.44081633,58.37959184,58.31020408,58.34693878,58.36326531,57.83673469,58.28557823
,63.91238095,63.68761905,64.05333333,63.74857143,63.89714286,63.92761905,63.86666667,63.98095238,63.56571429,63.79047619,63.86666667,63.87428571,63.86666667,63.55047619,64.08380952,63.64190476,63.72952381,63.54285714,63.76,63.65714286,63.61142857,64.08380952,63.64190476,63.89333333,63.9352381,63.88190476,63.89333333,63.90095238,63.81714286,63.55428571,63.8072381
